"gene","protein","description","in_hpa_muscle","in_blood_blacklist"
"","cRAP-TRYP_PIG","Trypsin",FALSE,FALSE
"A1BG","A1BG_HUMAN","Alpha-1B-glycoprotein",FALSE,TRUE
"A2M","A2MG_HUMAN","Alpha-2-macroglobulin",TRUE,TRUE
"ACTBL2","ACTBL_HUMAN","Beta-actin-like protein 2",FALSE,FALSE
"ADD2","ADDB_HUMAN","Beta-adducin",FALSE,FALSE
"AFM","AFAM_HUMAN","Afamin",FALSE,FALSE
"AHSG","FETUA_HUMAN","Alpha-2-HS-glycoprotein",FALSE,TRUE
"AHSP","AHSP_HUMAN","Alpha-hemoglobin-stabilizing protein",FALSE,TRUE
"AKAP2","AKAP2_HUMAN","A-kinase anchor protein 2",FALSE,FALSE
"AKAP7","AKA7G_HUMAN","A-kinase anchor protein 7 isoform gamma",FALSE,FALSE
"ALB","ALBU_HUMAN","Serum albumin",TRUE,TRUE
"ALDH1L2","AL1L2_HUMAN","Mitochondrial 10-formyltetrahydrofolate dehydrogenase",FALSE,FALSE
"ALYREF","THOC4_HUMAN","THO complex subunit 4",FALSE,FALSE
"AMBP","AMBP_HUMAN","Protein AMBP",FALSE,FALSE
"APCS","SAMP_HUMAN","Serum amyloid P-component",FALSE,FALSE
"APOA1","APOA1_HUMAN","Apolipoprotein A-I",FALSE,TRUE
"APOA2","APOA2_HUMAN","Apolipoprotein A-II",FALSE,TRUE
"APOA4","APOA4_HUMAN","Apolipoprotein A-IV",FALSE,TRUE
"APOB","APOB_HUMAN","Apolipoprotein B-100",FALSE,TRUE
"APOC1","APOC1_HUMAN","Apolipoprotein C-I",TRUE,TRUE
"APOC2","APOC2_HUMAN","Apolipoprotein C-II",TRUE,TRUE
"APOC3","APOC3_HUMAN","Apolipoprotein C-III",FALSE,TRUE
"APOD","APOD_HUMAN","Apolipoprotein D",TRUE,TRUE
"APOE","APOE_HUMAN","Apolipoprotein E",TRUE,TRUE
"APOF","APOF_HUMAN","Apolipoprotein F",FALSE,FALSE
"APOH","APOH_HUMAN","Beta-2-glycoprotein 1",FALSE,TRUE
"APOL1","APOL1_HUMAN","Apolipoprotein L1",TRUE,TRUE
