"uniprot_id","protein","gene","description","n_seq","n_pro_seq","is_crap","S2E_T1","S2E_T2","S3D_T1","S3D_T2","S3E_T1","S3E_T2","S4D_T1","S4D_T2","S4E_T1","S4E_T2","S5D_T1","S5D_T2","S5E_T1","S5E_T2","S6E_T1","S7D_T1","S7D_T2","S7E_T2","S8D_T1","S8E_T1","S8E_T2","S9D_T1","S9D_T2","S9E_T1","S9E_T2","S10D_T1","S10D_T2","S10E_T1","S10E_T2","S11D_T1","S11D_T2","S11E_T1","S11E_T2","S12D_T1","S12D_T2","S12E_T1","S12E_T2","S13D_T1","S13D_T2","S13E_T1","S13E_T2","S14D_T1","S14D_T2","S14E_T1","S14E_T2","S15D_T1","S15D_T2","S15E_T1","S15E_T2","S16D_T1","S16D_T2","S17D_T1","S17D_T2","S17E_T1","S17E_T2","S18D_T1","S18D_T2","S18E_T1","S18E_T2","S20D_T1","S20D_T2","S20E_T1","S20E_T2","S21D_T1","S21D_T2","S21E_T1","S21E_T2","S23D_T1","S23D_T2","S23E_T1","S23E_T2","S24D_T1","S24D_T2","S24E_T1","S24E_T2","S25D_T1","S25D_T2","S25E_T1","S25E_T2","S26D_T1","S26D_T2","S26E_T1","S26E_T2","S27D_T1","S27D_T2","S27E_T1","S27E_T2","S28D_T1","S28D_T2","S28E_T1","S28E_T2","S29D_T1","S29D_T2","S29E_T1","S29E_T2","S30D_T1","S30D_T2","S30E_T1","S30E_T2","S31D_T1","S31D_T2","S31E_T1","S31E_T2","S32D_T1","S32D_T2","S32E_T1","S32E_T2","S33D_T1","S33D_T2","S33E_T1","S33E_T2","S35D_T1","S35D_T2","S35E_T1","S35E_T2","S36D_T1","S36D_T2","S36E_T1","S36E_T2","S37D_T1","S37D_T2","S37E_T1","S37E_T2","S2D_T1","S2D_T2","S6D_T1","S6D_T2","S7E_T1","S8D_T2","S16E_T1","S16E_T2"
"A0A075B6H9","LV469_HUMAN","IGLV4-69","Immunoglobulin lambda variable 4-69",1,1,FALSE,NA,38812.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,159051,NA,NA,56946.2,45274.1,NA,NA,NA,NA,NA,54189.3,85669.3,NA,NA,NA,NA,NA,208362,NA,109444,NA,NA,NA,NA,NA,NA,75278.3,NA,NA,NA,NA,97704.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88779.9,NA,NA,120012,NA,NA,NA,NA,NA,132151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117960,NA,NA,NA,235756,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87472.5,113082,70150.8,NA,NA,58601.3,27670.4,NA,57037.9,NA,124316,187697,156848,143486,NA,NA,NA,NA,NA,NA,NA,NA
"A0A075B6I0","LV861_HUMAN","IGLV8-61","Immunoglobulin lambda variable 8-61",1,1,FALSE,92114,NA,NA,45833,24196.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41609.5,NA,NA,50761,NA,NA,NA,NA,NA,NA,NA,100690,105184,196530,NA,NA,NA,302036,15188,NA,NA,NA,NA,NA,NA,NA,NA,NA,210685,NA,NA,NA,NA,75638.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,257801,258861,NA,NA,NA,NA,NA,NA,NA,NA,NA,92059.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,114195,112595,NA,NA,NA,NA,NA,145853,84141,NA,NA,NA,NA,NA,NA,NA,NA,NA,396616,NA,NA,114682,NA,103428,NA,NA,NA,278579,NA,NA,NA,NA,NA,NA
"A0A075B6K4","LV310_HUMAN","IGLV3-10","Immunoglobulin lambda variable 3-10",1,1,FALSE,NA,NA,NA,NA,NA,NA,2720000,169260,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,153196,NA,NA,NA,NA,NA,283991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,357333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,323903,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A0A075B6K5","LV39_HUMAN","IGLV3-9","Immunoglobulin lambda variable 3-9",1,1,FALSE,NA,104571,NA,NA,NA,NA,3390000,133178,NA,NA,NA,176778,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,118682,NA,NA,NA,NA,146629,240315,NA,138970,192751,342816,NA,176417,NA,179042,97635.3,NA,NA,133373,NA,NA,NA,NA,NA,NA,NA,NA,213112,171745,NA,NA,NA,NA,NA,NA,NA,NA,129794,221052,NA,NA,NA,NA,NA,NA,NA,NA,NA,222042,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60502.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,132106,NA,NA,NA,NA,206040,NA,NA,NA,NA,NA,NA,NA,NA,335931,NA
"A0A075B6P5","KV228_HUMAN","IGKV2-28","Immunoglobulin kappa variable 2-28",2,0,FALSE,1420000,399827,NA,NA,NA,NA,510239,533548,NA,NA,NA,704606,NA,NA,NA,NA,284808,283258,NA,311283,198135,653105,651156,705357,322296,NA,NA,465474,602026,611311,1030000,1330000,1510000,NA,NA,NA,NA,327197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1750000,690328,NA,616371,340500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,490442,NA,247846,593204,1790000,1150000,NA,NA,NA,1250000,NA,380549,NA,552801,NA,2910000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,569191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,545600,1080000,NA,NA,NA,NA,525665,NA,NA,NA,595223,NA,NA,NA,NA,NA,341369
"A0A075B6R9","KV224_HUMAN","IGKV2-24","Probable non-functional immunoglobulin kappa variable 2D-24",2,0,FALSE,NA,NA,NA,NA,NA,NA,20300000,1720000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5650000,6180000,NA,NA,NA,NA,NA,NA,NA,2980000,1770000,NA,NA,NA,5320000,NA,NA,NA,3470000,NA,NA,NA,NA,NA,NA,NA,NA,3760000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4040000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4880000,3110000,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A0A075B6S2","KVD29_HUMAN","IGKV2D-29","Immunoglobulin kappa variable 2D-29",3,1,FALSE,39300000,7720000,4150000,5790000,5110000,6410000,51800000,11200000,7880000,14300000,1700000,15900000,10100000,8480000,3040000,7100000,10500000,4880000,5970000,5530000,2130000,8040000,1.4e+07,1e+07,11900000,6580000,4050000,8250000,14200000,1.2e+07,28900000,1.9e+07,28800000,NA,6890000,2900000,27800000,5080000,6560000,13300000,13400000,NA,1.2e+07,5400000,10200000,2.8e+07,10600000,12600000,19300000,66500000,24500000,1.7e+07,10500000,8890000,13400000,49700000,16800000,20600000,11100000,44200000,77100000,27900000,22800000,38800000,33500000,29600000,7340000,12200000,9970000,9310000,39700000,NA,41300000,NA,18300000,15700000,45200000,47400000,12400000,10200000,22900000,56500000,7410000,5100000,5150000,10900000,8560000,1.29e+08,20900000,29500000,20200000,28900000,20400000,28300000,21900000,9460000,26200000,22300000,23900000,22300000,17400000,16300000,21100000,28700000,4350000,7090000,13400000,13600000,6350000,8380000,24100000,2.9e+07,41200000,7390000,25300000,24200000,37600000,18500000,23800000,19300000,42700000,32200000,9730000,2980000,3680000,NA,NA,NA,NA,7140000,NA
"A0A087WSY6","KVD15_HUMAN","IGKV3D-15","Immunoglobulin kappa variable 3D-15",2,1,FALSE,421728,107083,126555,184283,209188,244541,2020000,267604,240941,59856.9,NA,348209,239062,128834,61259,62835.3,49047.7,115847,60628.2,110949,NA,292738,412228,377622,145371,128095,89552.5,127576,273432,175317,319826,301101,628492,47528.4,126496,NA,140819,178253,218762,205123,329481,NA,82989.7,NA,NA,167421,NA,204376,58187,732862,332949,NA,198864,139156,121379,341699,NA,261694,134244,390916,422079,182997,205319,293753,353525,170065,NA,NA,63287.5,72827.5,571917,NA,379496,129370,234090,222796,488301,327848,139544,174308,170346,787533,179853,NA,NA,NA,71970.4,882455,124271,217704,76273.2,176741,57011.8,113216,345736,97321.8,302360,223679,654812,206198,NA,NA,288537,225283,183784,179371,56683.2,142453,59967.7,230271,327912,49340.6,105499,NA,243017,273180,201708,55975.7,266738,258435,680655,270581,211472,NA,305129,NA,NA,NA,NA,748607,357607
"A0A087WW87","KV240_HUMAN","IGKV2-40","Immunoglobulin kappa variable 2-40",1,0,FALSE,NA,NA,NA,NA,NA,NA,191594,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,168617,NA
"A0A0A0MRZ8","KV311_HUMAN","IGKV3-11","Immunoglobulin kappa variable 3D-11",2,0,FALSE,38900000,10100000,NA,NA,NA,NA,1.21e+08,8710000,NA,NA,NA,27400000,16700000,NA,NA,NA,NA,4100000,10300000,11300000,4620000,9350000,1.8e+07,10300000,17100000,NA,NA,NA,19200000,11300000,18800000,15500000,19100000,NA,8760000,NA,22400000,10600000,1.2e+07,10600000,16500000,NA,NA,NA,NA,7580000,NA,18900000,21800000,49300000,18600000,NA,13300000,1.1e+07,14700000,16400000,NA,14300000,NA,44400000,59600000,30600000,NA,NA,32500000,NA,19100000,NA,1.3e+07,8790000,31400000,9840000,41600000,9220000,22600000,15300000,3.5e+07,36400000,NA,20800000,8080000,32400000,30300000,8950000,6860000,11100000,14800000,61900000,NA,1.7e+07,NA,17500000,NA,NA,2.6e+07,NA,31900000,22300000,2e+07,NA,14300000,9980000,NA,22800000,15700000,11400000,12700000,17200000,NA,NA,12100000,35400000,NA,NA,21200000,2.9e+07,20500000,11800000,17100000,6460000,4e+07,29900000,23800000,8480000,19200000,4360000,NA,NA,NA,20200000,14800000
