"uniprot_id","protein","gene","description","n_seq","n_pro_seq","is_crap"
"A0A075B6H9","LV469_HUMAN","IGLV4-69","Immunoglobulin lambda variable 4-69",1,1,FALSE
"A0A075B6I0","LV861_HUMAN","IGLV8-61","Immunoglobulin lambda variable 8-61",1,1,FALSE
"A0A075B6K4","LV310_HUMAN","IGLV3-10","Immunoglobulin lambda variable 3-10",1,1,FALSE
"A0A075B6K5","LV39_HUMAN","IGLV3-9","Immunoglobulin lambda variable 3-9",1,1,FALSE
"A0A075B6P5","KV228_HUMAN","IGKV2-28","Immunoglobulin kappa variable 2-28",2,0,FALSE
"A0A075B6R9","KV224_HUMAN","IGKV2-24","Probable non-functional immunoglobulin kappa variable 2D-24",2,0,FALSE
"A0A075B6S2","KVD29_HUMAN","IGKV2D-29","Immunoglobulin kappa variable 2D-29",3,1,FALSE
"A0A087WSY6","KVD15_HUMAN","IGKV3D-15","Immunoglobulin kappa variable 3D-15",2,1,FALSE
"A0A087WW87","KV240_HUMAN","IGKV2-40","Immunoglobulin kappa variable 2-40",1,0,FALSE
"A0A0A0MRZ8","KV311_HUMAN","IGKV3-11","Immunoglobulin kappa variable 3D-11",2,0,FALSE
"A0A0A0MS15","HV349_HUMAN","IGHV3-49","Immunoglobulin heavy variable 3-49",2,1,FALSE
"A0A0A0MT36","KVD21_HUMAN","IGKV6D-21","Immunoglobulin kappa variable 6D-21",1,0,FALSE
"A0A0B4J1U7","HV601_HUMAN","IGHV6-1","Immunoglobulin heavy variable 6-1",2,2,FALSE
"A0A0B4J1V0","HV315_HUMAN","IGHV3-15","Immunoglobulin heavy variable 3-15",3,2,FALSE
"A0A0B4J1X5","HV374_HUMAN","IGHV3-74","Immunoglobulin heavy variable 3-74",4,2,FALSE
"A0A0B4J1X8","HV343_HUMAN","IGHV3-43","Immunoglobulin heavy variable 3-43",1,1,FALSE
"A0A0B4J1Y9","HV372_HUMAN","IGHV3-72","Immunoglobulin heavy variable 3-72",2,2,FALSE
"A0A0B4J2D5","GAL3A_HUMAN","GATD3A","Glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial",13,0,FALSE
"A0A0B4J2D9","KV113_HUMAN","IGKV1-13","Immunoglobulin kappa variable 1D-13",1,0,FALSE
"A0A0B4J2F0","PIOS1_HUMAN","PIGBOS1","Protein PIGBOS1",1,1,FALSE
"A0A0C4DH25","KVD20_HUMAN","IGKV3D-20","Immunoglobulin kappa variable 3D-20",1,1,FALSE
"A0A0C4DH31","HV118_HUMAN","IGHV1-18","Immunoglobulin heavy variable 1-18",1,1,FALSE
"A0A0C4DH34","HV428_HUMAN","IGHV4-28","Immunoglobulin heavy variable 4-28",1,1,FALSE
