"contrast","type","sig.PVal","sig.FDR","pval_thresh","lfc_thresh","p_adj_method"
"Baseline","down","6","0",0.05,0.6,"BH"
"Baseline","nonsig","2516","2522",0.05,0.6,"BH"
"Baseline","up","0","0",0.05,0.6,"BH"
"Training_BFR","down","5","2",0.05,0.6,"BH"
"Training_BFR","nonsig","2514","2518",0.05,0.6,"BH"
"Training_BFR","up","3","2",0.05,0.6,"BH"
"Training_HLRT","down","6","1",0.05,0.6,"BH"
"Training_HLRT","nonsig","2507","2512",0.05,0.6,"BH"
"Training_HLRT","up","9","9",0.05,0.6,"BH"
"Post_training","down","1","0",0.05,0.6,"BH"
"Post_training","nonsig","2521","2522",0.05,0.6,"BH"
"Post_training","up","0","0",0.05,0.6,"BH"
"Interaction","down","3","0",0.05,0.6,"BH"
"Interaction","nonsig","2513","2522",0.05,0.6,"BH"
"Interaction","up","6","0",0.05,0.6,"BH"
