contrast,direction,database,ID,Description,NES,pvalue,p.adjust,setSize
Training_BFR,Up,GO:CC,GO:0005740,Mitochondrial envelope,3.063041201796231,1.534286905068334e-44,4.909718096218669e-42,362
Training_BFR,Up,Reactome,REACTOME_AEROBIC_RESPIRATION_AND_RESPIRATORY_ELECTRON_TRANSPORT,Aerobic respiration and respiratory electron transport,3.0394901921638002,8.31150264404421e-30,3.4575850999223915e-27,176
Training_BFR,Up,GO:CC,GO:0005759,Mitochondrial matrix,3.0331303773529505,3.085041659234179e-36,1.9744266619098745e-34,264
Training_BFR,Up,Hallmark,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Genes encoding proteins involved in oxidative phosphorylation.,3.0214762641068234,1.13414813294135e-28,4.423177718471265e-27,168
Training_BFR,Up,Reactome,REACTOME_MITOCHONDRIAL_PROTEIN_DEGRADATION,Mitochondrial protein degradation,2.9655242472426293,7.766566200267133e-18,1.0769638464370424e-15,77
Training_BFR,Up,KEGG,hsa04714,Thermogenesis,2.711810589568288,4.384554496028585e-16,8.856800081977741e-14,120
Training_BFR,Up,GO Slim,GO:0006091,Generation of precursor metabolites and energy,2.6917243136429847,2.472913178488113e-23,1.4342896435231055e-21,244
Training_BFR,Up,GO:BP,GO:0006091,Generation of precursor metabolites and energy,2.667053727385612,3.1733424358104e-23,5.816736684840463e-20,244
Training_BFR,Up,GO:MF,GO:0015078,Proton transmembrane transporter activity,2.601796779027068,3.142188582243865e-12,1.0117847234825246e-9,88
Training_BFR,Up,GO:BP,GO:1902600,Proton transmembrane transport,2.5982583780865185,3.370932564796291e-13,1.029819898545267e-10,94
Training_BFR,Up,Reactome,REACTOME_PROTEIN_LOCALIZATION,Protein localization,2.5032391168193384,1.7936945658223795e-10,1.8654423484552747e-8,85
Training_BFR,Up,KEGG,hsa00020,Citrate cycle (tca cycle),2.451995300408159,3.528038655672724e-8,1.0180911549227004e-6,25
Training_BFR,Up,GO Slim,GO:0140053,Mitochondrial gene expression,2.451356367754357,7.309467794868159e-10,1.4131637736745106e-8,70
Training_BFR,Up,GO:BP,GO:0140053,Mitochondrial gene expression,2.4283807875274155,1.0090632518592686e-9,8.407331548445633e-8,70
Training_BFR,Up,Reactome,REACTOME_MITOCHONDRIAL_TRANSLATION,Mitochondrial translation,2.4177129252671397,4.763504443086633e-9,3.3026964138733983e-7,61
Training_BFR,Up,GO:MF,GO:0016874,Ligase activity,2.2739245465368847,3.127032659991035e-8,2.0138090330342266e-6,87
Training_BFR,Up,KEGG,hsa05208,Chemical carcinogenesis - reactive oxygen species,2.2045842520124808,1.1138184635884989e-8,4.4998265928975353e-7,122
Training_BFR,Up,GO Slim,GO:0007005,Mitochondrion organization,2.2015168981173265,2.0636413746171366e-10,5.984559986389696e-9,175
Training_BFR,Up,GO:BP,GO:1901293,Nucleoside phosphate biosynthetic process,2.1959989425481834,3.530720968647494e-10,3.8069479620769746e-8,157
Training_BFR,Up,GO:BP,GO:0007005,Mitochondrion organization,2.183143957003714,1.1465363947711814e-10,1.616616316627366e-8,175
Training_BFR,Up,GO:MF,GO:0015291,Secondary active transmembrane transporter activity,2.171743420621346,4.4759554036827276e-5,0.0010294697428470273,21
Training_BFR,Up,GO:BP,GO:0016042,Lipid catabolic process,2.1307357225820316,7.490381542756642e-7,2.692131248602534e-5,67
Training_BFR,Up,Hallmark,HALLMARK_FATTY_ACID_METABOLISM,Genes encoding proteins involved in metabolism of fatty acids.,2.110942750659311,3.939746646270389e-7,7.682505960227259e-6,96
Training_BFR,Up,KEGG,hsa04146,Peroxisome,2.0638698783855958,7.101698162274653e-5,9.472051327930282e-4,25
Training_BFR,Up,GO:BP,GO:0015711,Organic anion transport,1.933402231173128,1.2098572904785568e-4,0.0021741847190658767,51
Training_BFR,Up,Reactome,REACTOME_ORGANELLE_BIOGENESIS_AND_MAINTENANCE,Organelle biogenesis and maintenance,1.9242051130331654,4.24907796628198e-5,6.798524746051168e-4,83
Training_BFR,Up,GO:BP,GO:0006418,Trna aminoacylation for protein translation,1.8909050280561348,6.561673424017363e-4,0.008700917608995723,29
Training_BFR,Up,KEGG,hsa05016,Huntington disease,1.8877771958795806,4.588339096414343e-6,8.425859067960884e-5,160
Training_BFR,Up,KEGG,hsa00970,Aminoacyl-trna biosynthesis,1.8876027124678998,9.92331179974065e-4,0.008715256450207006,27
Training_BFR,Up,GO:BP,GO:0019752,Carboxylic acid metabolic process,1.8822585163519638,9.510796737854496e-9,6.705111700187419e-7,284
Training_BFR,Down,GO:BP,GO:0007517,Muscle organ development,-2.5091577611217817,2.2556234694739808e-12,5.906511170779723e-10,108
Training_BFR,Down,GO:CC,GO:0034704,Calcium channel complex,-2.367567981285739,7.450604635565452e-7,1.4024667549299675e-5,17
Training_BFR,Down,GO:CC,GO:0043292,Contractile muscle fiber,-2.264127370468635,7.131960918355329e-10,1.9018562448947545e-8,155
Training_BFR,Down,GO:MF,GO:0003743,Translation initiation factor activity,-2.2039936857776894,3.157318482366052e-6,1.6944275855364476e-4,41
Training_BFR,Down,Reactome,REACTOME_ANTIGEN_PROCESSING_UBIQUITINATION_PROTEASOME_DEGRADATION,Antigen processing: ubiquitination & proteasome degradation,-2.1975101584093175,2.4548309921373126e-7,1.2765121159114026e-5,85
Training_BFR,Down,GO:MF,GO:0015085,Calcium ion transmembrane transporter activity,-2.193910178482021,8.978639418237504e-5,0.0017006599368661625,16
Training_BFR,Down,Reactome,REACTOME_ANTIGEN_PROCESSING_UB_ATP_INDEPENDENT_PROTEASOMAL_DEGRADATION,"Antigen processing: ub, atp-independent proteasomal degradation",-2.178893703697705,3.803751351055705e-5,6.329442248156693e-4,16
Training_BFR,Down,GO:MF,GO:0032182,Ubiquitin-like protein binding,-2.1694918737067916,2.3416263628375373e-5,6.283364073614058e-4,33
Training_BFR,Down,Reactome,REACTOME_GASTRULATION,Gastrulation,-2.1475139039201894,2.2372259232096793e-5,4.770743279610826e-4,34
Training_BFR,Down,KEGG,hsa04921,Oxytocin signaling pathway,-2.1436039892854257,2.1407760778729267e-5,3.603639731086093e-4,43
Training_BFR,Down,Reactome,REACTOME_DEUBIQUITINATION,Deubiquitination,-2.0964261472904258,3.060181588525479e-6,9.792581083281533e-5,77
Training_BFR,Down,KEGG,hsa04820,Cytoskeleton in muscle cells,-2.0561253475776056,1.0657662688213043e-7,2.6910598287737933e-6,130
Training_BFR,Down,GO:CC,GO:0042383,Sarcolemma,-2.041457288328559,7.876803151384112e-6,1.1457168220195072e-4,70
Training_BFR,Down,Reactome,REACTOME_TNFR2_NON_CANONICAL_NF_KB_PATHWAY,Tnfr2 non-canonical nf-kb pathway,-2.0413309484063245,8.84899836524049e-5,0.0010517666628400127,36
Training_BFR,Down,Reactome,REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT,Abc-family proteins mediated transport,-2.0200908879734407,1.7710506081416473e-4,0.001404957369184292,41
Training_BFR,Down,GO Slim,GO:0003012,Muscle system process,-1.978441883521275,3.829767049390855e-7,4.442529777293391e-6,159
Training_BFR,Down,KEGG,hsa04261,Adrenergic signaling in cardiomyocytes,-1.9740340432314654,1.0007441851577217e-4,0.0011891195611874105,52
Training_BFR,Down,GO:CC,GO:0140535,Intracellular protein-containing complex,-1.9675184829109662,2.22764188153231e-8,5.483426169925686e-7,212
Training_BFR,Down,KEGG,hsa04010,Mapk signaling pathway,-1.9674618521617837,1.1532106174610765e-4,0.0012260449722480918,51
Training_BFR,Down,Reactome,REACTOME_MITOTIC_G1_PHASE_AND_G1_S_TRANSITION,Mitotic g1 phase and g1/s transition,-1.9641983057494499,1.9988790092482532e-4,0.0014607712976043104,44
