"gene","timepoint","mean_intensity","sem","n"
"ART3","POST",21.5572435011209,0.0984555136842193,32
"ART3","PRE",21.9268519769519,0.0801991439106267,32
"CACNA2D1","POST",24.053314021976,0.0535954599511869,32
"CACNA2D1","PRE",24.3268473647317,0.044937208501601,32
"CACNG1","POST",23.7252704860204,0.0784702702979698,32
"CACNG1","PRE",24.0750612018592,0.0626541209880758,32
"CMBL","POST",27.3134261175861,0.0608153905902046,32
"CMBL","PRE",27.6262758119529,0.076406909400862,32
"EIF4E3","POST",17.8423207908225,0.0894251461598313,25
"EIF4E3","PRE",18.4002578804672,0.0921330056875626,26
"MYLK2","POST",25.0071659335906,0.0875631112748749,32
"MYLK2","PRE",25.5001339556974,0.090749025277159,32
"NEK7","POST",21.7307345680717,0.0775191753699225,32
"NEK7","PRE",22.0507782272359,0.0594675967247553,32
"PDLIM3","POST",27.8358894299726,0.0825632900205349,32
"PDLIM3","PRE",28.2341259548711,0.070515560101035,32
"PTER","POST",17.0758351962974,0.0980712381744215,29
"PTER","PRE",17.4688784729069,0.0921089707825929,27
"SELENOO","POST",16.99699308616,0.10324820337643,28
"SELENOO","PRE",17.4570563897665,0.0825667837633695,30
"SMTNL1","POST",23.8172981954638,0.111962910153211,32
"SMTNL1","PRE",24.4583079193477,0.0999896444620397,32
"SPPL2A","POST",19.0094823691011,0.226081277092721,21
"SPPL2A","PRE",19.5925927715111,0.145310701515243,23
"TMEM245","POST",15.8632572316124,0.208876241334142,16
"TMEM245","PRE",16.5592546491984,0.215443444725321,16
