"gene","timepoint","mean_intensity","sem","n"
"C8orf82","POST",18.2583411569311,0.0950106551599427,32
"C8orf82","PRE",17.8320302871291,0.0922433190799196,31
"CA14","POST",19.4150747884517,0.157959254913619,30
"CA14","PRE",18.615563748296,0.129402120204641,25
"CARNS1","POST",21.942432475785,0.0928118886235136,32
"CARNS1","PRE",21.4886443753825,0.0940913978576759,32
"CKMT2","POST",29.6974930550503,0.0667559961815849,32
"CKMT2","PRE",29.3861516752283,0.0576806607126588,32
"EEF1A1","POST",22.2152305709843,0.090403041068431,32
"EEF1A1","PRE",21.789034370564,0.0810419976500932,32
"FAHD2A","POST",21.7525851860774,0.0743087521572127,31
"FAHD2A","PRE",21.3092358709898,0.101420790016849,32
"FSCN1","POST",20.7451161846055,0.091077009878978,32
"FSCN1","PRE",20.2300587539573,0.0610638689465065,32
"GFPT1","POST",16.4281305550594,0.107380924961769,27
"GFPT1","PRE",16.0030554762182,0.109922777835735,24
"GLUD1","POST",22.8680579363387,0.0471490370205843,32
"GLUD1","PRE",22.5509001652093,0.0516963014253528,32
"GSTK1","POST",23.779821838091,0.0738730138174319,32
"GSTK1","PRE",23.3880612377128,0.0813547075163332,32
"HSPD1","POST",26.4232358564543,0.0551973576055378,32
"HSPD1","PRE",26.1518321912097,0.044373205305595,32
"IDH3A","POST",25.4409540631117,0.0812587995816598,32
"IDH3A","PRE",25.1483922417641,0.0541146964705712,32
"IDH3B","POST",24.3676913376661,0.0844332748802473,32
"IDH3B","PRE",23.9885570559322,0.0778112667945441,32
"IDH3G","POST",24.3041212014713,0.0694860104196673,32
"IDH3G","PRE",23.9705335444338,0.0628830380107261,32
"MRPL12","POST",20.8518410845454,0.0989082699957681,30
"MRPL12","PRE",20.2918552052334,0.165244605564865,32
"NAMPT","POST",23.110026454339,0.126988875168597,32
"NAMPT","PRE",22.515888911168,0.104189083353811,32
"NIPSNAP3A","POST",20.0658212686176,0.0995698222687317,32
"NIPSNAP3A","PRE",19.5838774564883,0.126492858736958,32
"S100A13","POST",24.3698583283889,0.219979861371984,32
"S100A13","PRE",23.7015423553837,0.128522063839325,32
"THY1","POST",19.9608042852526,0.136509556097585,29
"THY1","PRE",19.3336655997374,0.175602652957514,23
