"gene","timepoint","mean_intensity","sem","n"
"AAMDC","POST",27.0499892002895,0.0759688486005522,32
"AAMDC","PRE",27.3765155827122,0.0822013747683429,33
"ART3","POST",21.396632972505,0.0957784070265488,32
"ART3","PRE",21.9759590156812,0.0646053681734701,33
"BCL2","POST",16.600544683505,0.105197327178635,26
"BCL2","PRE",17.0450247936157,0.104328766181573,27
"CACNB1","POST",23.1163696705481,0.0529041811917576,32
"CACNB1","PRE",23.4040995758136,0.043871464493191,33
"CARM1","POST",20.5381731196702,0.097708577814164,32
"CARM1","PRE",20.9375518598603,0.0816458058737648,33
"CHMP3","POST",18.0100360181038,0.122658967540133,19
"CHMP3","PRE",18.4781059952037,0.080266397522793,20
"CMBL","POST",27.2884131486024,0.0680896689769443,32
"CMBL","PRE",27.6389952654677,0.0644677270505416,33
"KYAT1","POST",19.5602856815643,0.0951559633191102,32
"KYAT1","PRE",19.98503122785,0.0715302439208162,32
"MYH1","POST",27.5709117489808,0.277074270012333,32
"MYH1","PRE",28.7944263323811,0.269465371394373,33
"MYLK2","POST",24.8783069328592,0.0805502360816316,32
"MYLK2","PRE",25.4713625461297,0.0646084124094152,33
"PLEKHF1","POST",19.4026134440184,0.0640392931263681,32
"PLEKHF1","PRE",19.7839403424237,0.0646975063934815,33
"PPP3CB","POST",24.4176143525901,0.0524615081804676,32
"PPP3CB","PRE",24.6842642793758,0.051176603317857,33
"RPL29","POST",20.1149614297566,0.283247208377083,25
"RPL29","PRE",20.8157052127791,0.201356203382967,20
"SELENBP1","POST",25.7631514295099,0.0794294304766991,32
"SELENBP1","PRE",26.1485295110059,0.0730389283719341,33
"STAC3","POST",22.0738481343994,0.0540245831831885,32
"STAC3","PRE",22.3504480064022,0.0571193696978694,33
"TSC22D1","POST",17.8934732153217,0.0892354980421283,29
"TSC22D1","PRE",18.3303870660077,0.0694227440084675,32
