"gene","timepoint","mean_intensity","sem","n"
"ACAD9","POST",19.2537944734627,0.0864434073326362,30
"ACAD9","PRE",18.8044048553491,0.104994810852059,31
"ACY1","POST",21.7970507987878,0.0626871770218772,32
"ACY1","PRE",21.3708316061827,0.0945656879326995,33
"AKT2","POST",19.4004192372425,0.0763129487428365,32
"AKT2","PRE",18.8794861101541,0.0835367311426317,33
"ALDH1B1","POST",24.6226345401878,0.152315955639999,32
"ALDH1B1","PRE",23.9174564128801,0.130652899063252,33
"ATP1A1","POST",20.3014722459328,0.0901014475711742,32
"ATP1A1","PRE",19.7425301596686,0.0838814278937705,33
"CA14","POST",19.533612078663,0.110454804847416,30
"CA14","PRE",18.6077567018602,0.0989365751039066,25
"CARNS1","POST",22.0977379398446,0.0827856985247627,32
"CARNS1","PRE",21.3639576648528,0.0893629554441741,33
"CKAP4","POST",16.9952796362972,0.102747270338167,31
"CKAP4","PRE",16.2979855885053,0.120497935878221,28
"FSCN1","POST",20.8716923324141,0.094512411444039,32
"FSCN1","PRE",20.2833004977127,0.0867322684409511,33
"GLUD1","POST",22.8930016264047,0.0498780846291547,32
"GLUD1","PRE",22.4920830337684,0.0546924163076826,33
"GSTK1","POST",23.7403175719168,0.0528431147762301,32
"GSTK1","PRE",23.2279849219044,0.0849064071208188,33
"IDH3B","POST",24.3777026135139,0.0712891030935132,32
"IDH3B","PRE",23.930110269308,0.0708646069861974,33
"NAMPT","POST",23.1881731739135,0.085426940682934,32
"NAMPT","PRE",22.3997167910263,0.0833360034939004,33
"NDUFAF2","POST",18.6688120816376,0.0641708166589987,32
"NDUFAF2","PRE",18.23537527543,0.0973139167477936,33
"S100A13","POST",24.5801614682014,0.170774873972929,32
"S100A13","PRE",23.5343493546258,0.148474183753554,33
"SAMHD1","POST",17.0423924669994,0.13103035631696,25
"SAMHD1","PRE",16.4072717880468,0.142759040986312,20
"TARS1","POST",19.5119011635248,0.0620447092155325,30
"TARS1","PRE",19.0135836314976,0.0828781065918957,32
"THY1","POST",20.1001107142454,0.164727143604084,31
"THY1","PRE",19.3040356235741,0.200295743189867,22
"TMSB10","POST",21.8289381800714,0.150703652515192,27
"TMSB10","PRE",21.2170925083358,0.106645575587253,29
"TXNDC5","POST",17.9060008484477,0.113970921753653,29
"TXNDC5","PRE",17.1858984103078,0.100432025102134,28
