"gene","group_timepoint","mean_intensity","sem","n"
"CA14","BFR_POST",19.4150747884517,0.157959254913619,30
"CA14","BFR_PRE",18.615563748296,0.129402120204641,25
"CA14","HLRT_POST",19.533612078663,0.110454804847416,30
"CA14","HLRT_PRE",18.6077567018602,0.0989365751039066,25
"CARNS1","BFR_POST",21.942432475785,0.0928118886235136,32
"CARNS1","BFR_PRE",21.4886443753825,0.0940913978576759,32
"CARNS1","HLRT_POST",22.0977379398446,0.0827856985247627,32
"CARNS1","HLRT_PRE",21.3639576648528,0.0893629554441741,33
"CKMT2","BFR_POST",29.6974930550503,0.0667559961815849,32
"CKMT2","BFR_PRE",29.3861516752283,0.0576806607126588,32
"CKMT2","HLRT_POST",29.6163853739223,0.0400456542216889,32
"CKMT2","HLRT_PRE",29.3144274430206,0.0648603169100052,33
"EEF1A1","BFR_POST",22.2152305709843,0.090403041068431,32
"EEF1A1","BFR_PRE",21.789034370564,0.0810419976500932,32
"EEF1A1","HLRT_POST",22.3189057662662,0.104691468736885,32
"EEF1A1","HLRT_PRE",21.8069780028708,0.0987551216009318,33
"FSCN1","BFR_POST",20.7451161846055,0.091077009878978,32
"FSCN1","BFR_PRE",20.2300587539573,0.0610638689465065,32
"FSCN1","HLRT_POST",20.8716923324141,0.094512411444039,32
"FSCN1","HLRT_PRE",20.2833004977127,0.0867322684409511,33
"GLUD1","BFR_POST",22.8680579363387,0.0471490370205843,32
"GLUD1","BFR_PRE",22.5509001652093,0.0516963014253528,32
"GLUD1","HLRT_POST",22.8930016264047,0.0498780846291547,32
"GLUD1","HLRT_PRE",22.4920830337684,0.0546924163076826,33
"GSTK1","BFR_POST",23.779821838091,0.0738730138174319,32
"GSTK1","BFR_PRE",23.3880612377128,0.0813547075163332,32
"GSTK1","HLRT_POST",23.7403175719168,0.0528431147762301,32
"GSTK1","HLRT_PRE",23.2279849219044,0.0849064071208188,33
"IDH3A","BFR_POST",25.4409540631117,0.0812587995816598,32
"IDH3A","BFR_PRE",25.1483922417641,0.0541146964705712,32
"IDH3A","HLRT_POST",25.4450361398563,0.0482235019236718,32
"IDH3A","HLRT_PRE",25.135490798137,0.0625197673272224,33
"IDH3B","BFR_POST",24.3676913376661,0.0844332748802473,32
"IDH3B","BFR_PRE",23.9885570559322,0.0778112667945441,32
"IDH3B","HLRT_POST",24.3777026135139,0.0712891030935132,32
"IDH3B","HLRT_PRE",23.930110269308,0.0708646069861974,33
"IDH3G","BFR_POST",24.3041212014713,0.0694860104196673,32
"IDH3G","BFR_PRE",23.9705335444338,0.0628830380107261,32
"IDH3G","HLRT_POST",24.2844247210903,0.0465060875587272,32
"IDH3G","HLRT_PRE",23.972516910967,0.0596837491231189,33
"NAMPT","BFR_POST",23.110026454339,0.126988875168597,32
"NAMPT","BFR_PRE",22.515888911168,0.104189083353811,32
"NAMPT","HLRT_POST",23.1881731739135,0.085426940682934,32
"NAMPT","HLRT_PRE",22.3997167910263,0.0833360034939004,33
"NIPSNAP3A","BFR_POST",20.0658212686176,0.0995698222687317,32
"NIPSNAP3A","BFR_PRE",19.5838774564883,0.126492858736958,32
"NIPSNAP3A","HLRT_POST",20.0079327860893,0.122354936167009,32
"NIPSNAP3A","HLRT_PRE",19.5417642465037,0.114255156952686,31
"S100A13","BFR_POST",24.3698583283889,0.219979861371984,32
"S100A13","BFR_PRE",23.7015423553837,0.128522063839325,32
"S100A13","HLRT_POST",24.5801614682014,0.170774873972929,32
"S100A13","HLRT_PRE",23.5343493546258,0.148474183753554,33
"THY1","BFR_POST",19.9608042852526,0.136509556097585,29
"THY1","BFR_PRE",19.3336655997374,0.175602652957514,23
"THY1","HLRT_POST",20.1001107142454,0.164727143604084,31
"THY1","HLRT_PRE",19.3040356235741,0.200295743189867,22
